"","nickname","class_primary","total_games","kills","assists","deaths","dpm","hpm","kad","kd","dtm","deathspm","killspm","cpm","gamescore","impact","survive","efficiency","objective","perc_dpm","perc_kad","perc_dtm","perc_deathspm","perc_cpm","perc_kd","perc_kpm","perc_damageperheal","perc_damageperdt"
"15","airflameon","medic",7,3.28571428571429,16.5714285714286,19,41.2346619306783,20.6981618832635,1.04511278195489,0.172932330827068,191.795624592952,0.602918298290399,0.10685551972583,0.193295573231312,41.345420955451,0.338626469323796,0.293119384865088,0.480816102593365,0.475171781885935,0,0.306937384603334,0.869435758513104,0.828648480754514,0.585342696502062,0,0,0,0
"16","AiShou","scout",41,19.9024390243902,11.7317073170732,8.70731707317073,314.522656459833,259.677210037817,3.63305322128852,2.28571428571429,210.904841631491,0.406932393018724,1.03745134934505,0.397723331651867,63.0672524914368,0.680890197187314,0.66513663871567,0.547011382650526,0.647933636960179,0.746166913232071,0.802233666383502,0.475709688325234,0.198943263437031,0.610023420967653,0.742209761337241,0.606580124129982,0.397928509981785,0.757232769245238
"17","alibastor","medic",10,0.8,12.7,9.9,11.890599137439,0,1.36363636363636,0.0808080808080808,137.162969396345,0.359357698947812,0.030311925857281,0.216964498994303,48.5779716928069,0.555647372683198,0.596946676778963,0.586624308005284,0.574600644685544,0,0.430863753408443,0.44292137210359,0.483840509022622,0.604365334411316,0,0,0,0
"18","alibastor","soldier",2,3.5,2,10.5,242.753485320649,215.651842826683,0.523809523809524,0.333333333333333,316.976827010942,0.963494927247593,0.322711403734858,0.0470957613814757,34.7271111198415,0.356935891833286,0.32369363420709,0.332212513949426,0.246729451841042,0.424512340500519,0.113055559390612,0.743003682014023,0.844684203962344,0.211176162502857,0.0898167809206995,0.100173686743412,0.321924133098998,0.11878424673242
"19","ALT","scout",2,23.5,15,14.5,299.120951822383,226.083438951959,2.6551724137931,1.62068965517241,237.722190484829,0.590499126410729,1.14485915715132,0.280598882598857,53.7887009184141,0.554001326501021,0.47558725604691,0.467289372466486,0.553665804473271,0.580055727278485,0.636707623650258,0.551627113394326,0.425848691272095,0.552964107985232,0.558302111292294,0.601799318924404,0.469226886185813,0.479592193467057
"20","ALT","soldier",26,15.4615384615385,4.34615384615385,21.3846153846154,238.031506446787,141.566354232135,0.926258992805755,0.723021582733813,251.574781646549,0.894810851587945,0.622960810913453,0.0961310410707063,44.3048527022921,0.395634279571693,0.462824255468478,0.515381488201817,0.431728764996556,0.335469946299372,0.343213913336083,0.47793925909838,0.668907279892731,0.430120569326385,0.391196841107502,0.458246710027417,0.632872786312946,0.376425143768485
"21","andre","scout",21,23.2857142857143,12.3333333333333,15.5238095238095,228.117919205284,238.807011941586,2.29447852760736,1.5,200.297139302013,0.528120586060127,0.810655937662044,0.279597867290422,48.3610504150462,0.448457351855911,0.62653787628689,0.363449801338106,0.446639820278954,0.375634520496227,0.576557330570051,0.401259969392532,0.350029884457962,0.475836691759402,0.542425256267438,0.461912692050792,0.254270532241483,0.462028979482975
"22","Andyroo","soldier",28,17.8571428571429,5.53571428571429,22.1071428571429,245.962673199928,153.553910053737,1.05815831987076,0.807754442649435,234.17918613,0.796729932381571,0.645828922918318,0.129406063601668,47.7324165080036,0.426521851065874,0.550878044101487,0.548112174779963,0.473096655553968,0.383763409629968,0.433673458610545,0.347502466458039,0.539231164062717,0.540842820829584,0.462100079774987,0.502070044439045,0.594339367232794,0.518383966230814
"23","arandomdeaddude","medic",1,1,3,8,32.9801324503311,0,0.5,0.125,234.701986754967,1.05960264900662,0.132450331125828,0,42.7118672358408,0.369044941107658,0.380068037199396,0.533378875037538,0.20211589605477,0,0.0672490642168289,0.992503674255676,0.997977344161038,0.000283206087095375,0,0,0,0
"24","arandomdeaddude","soldier",3,9,3.66666666666667,15,283.328274490329,154.22630783675,0.844444444444444,0.6,262.859981371347,0.9793073488904,0.611128850380472,0.0698292381949941,47.6804105853627,0.501058943711481,0.365157172014769,0.593296049846517,0.285602977942271,0.631970128944649,0.313055601691937,0.58699005147834,0.85882175156508,0.303801355624791,0.316238598096227,0.475956553397959,0.720297515734404,0.568670048684873
