"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes"
"59","myyyst",25,55.7719981772184,0.457005919165605,0.564835701046653,0.557134088379602,0.572960464689081,4,"scout"
"60","feggie",26,55.7584472655801,0.47112652026439,0.555513742250826,0.662035465844804,0.539117150070028,20,"soldier"
"61","john the asian",27,55.7529161835835,0.536118829684867,0.492720858916754,0.508681873957638,0.648158311415014,8,"soldier"
"62","bill",25,55.7209712807598,0.532536929228906,0.624718339295736,0.35614652702399,0.488191462387292,14,"scout"
"63","seraph",25,55.6731408703088,0.484879131753164,0.572750464574143,0.559163829877078,0.647378577559994,8,"soldier"
"64","jane doe",25,55.5865896253165,0.516770096328308,0.660361507773739,0.482020439677467,0.585187987492474,16,"demoman"
"65","ekac",27,55.1412503881767,0.407654525768445,0.810834065463918,0.592971100963184,0.433480525007104,2,"soldier"
"66","ZiLyfe",26,55.0033769622844,0.450872625249781,0.5398022426752,0.496226148932161,0.699612136547813,9,"scout"
"67","Essence",26,54.902573212702,0.664756472142282,0.582980244905838,0.584574706781737,0.690599425775021,13,"medic"
"68","Ravu4",27,54.8548665171932,0.590945046679155,0.694733667762548,0.669653096022069,0.69131866986105,16,"medic"
"69","morphe",25,54.8289269379479,0.530599169870645,0.635707007959565,0.451956672030076,0.495658003472485,16,"scout"
"70","Manceloot",26,54.7177445044357,0.366044232074285,0.832053204664715,0.362314288208541,0.783822336757802,2,"scout"
"71","wulonggoth",27,54.6699629076707,0.488481354516034,0.599588211174848,0.4197114113556,0.548793041291547,13,"scout"
"72","adolo",26,54.6530664209076,0.502456462470957,0.479630760203007,0.661735245348558,0.429256293467944,10,"soldier"
"73","Bread",26,54.3682293290547,0.524722575949779,0.512596661573313,0.385114820735143,0.555288333075527,17,"scout"
"74","beni",25,54.0732795604911,0.42578301130889,0.587944331531085,0.579484147475463,0.523310098736371,14,"scout"
"75","munch",25,53.951670897843,0.655454177946139,0.522299098878909,0.652179158646485,0.625602970552724,2,"medic"
"76","ZiLyfe",27,53.7641657061014,0.303435163919582,0.764174496622498,0.649347991445097,0.60588489900568,15,"scout"
"77","davi",26,53.6378138689038,0.463888091050112,0.602838657579562,0.472932140569832,0.757008980364173,2,"demoman"
"78","Kimber",25,53.5910568975372,0.586631797166245,0.508291522949498,0.344962425047188,0.537485836226118,14,"soldier"
"79","SnowSky",25,53.436208954813,0.757354403159551,0.388007147679243,0.521822837120723,0.549541170415619,2,"medic"
"80","Bonk",26,53.4260270032593,0.513956764785638,0.457354408876099,0.573970298135991,0.574793985852263,16,"demoman"
"81","pav",26,53.148068194251,0.462656448005534,0.447760322023168,0.699312381858832,0.267562251614236,2,"scout"
"82","weed liz",25,53.141147499298,0.585850167592539,0.650375750244542,0.610271903257519,0.65055628547889,18,"medic"
"83","ALT",27,53.0425955601308,0.440358612451165,0.574834318198742,0.613228176751422,0.494044281092088,16,"soldier"
"84","JD",26,53.0250963888312,0.394862906964471,0.656002945669853,0.693794178716717,0.620893315398147,7,"soldier"
"85","beni",26,52.9871766069614,0.356830990353847,0.703323745902868,0.548322631136057,0.574443882844351,20,"scout"
"86","ace",27,52.9710026381626,0.504748801289247,0.522327973043967,0.494187645053756,0.537397467655579,15,"soldier"
"87","Tesla",25,52.7062707617397,0.501527087149697,0.664030464148299,0.363082740339494,0.547957153899521,8,"soldier"
"88","Reffic",26,52.620692890015,0.487870831894037,0.573230865951898,0.375003322750553,0.496233324061864,11,"scout"
"89","weaponfire",26,51.8836884534566,0.452190629033901,0.516463133006601,0.437632689519923,0.602910959642009,20,"scout"
"90","rem",26,51.5631019642129,0.525516947196985,0.664251210259543,0.59839055960428,0.532975073991124,22,"medic"
"91","Ravu4",26,51.5427035885458,0.576137835321046,0.514338784927292,0.593670219326262,0.585082424598988,20,"medic"
"92","Alex",26,51.4111162592201,0.391779875698952,0.543776430878645,0.718239617984274,0.477686143247227,4,"soldier"
"93","catfish",26,51.405745252206,0.534421430075309,0.310856341172719,0.588356740260612,0.262612704550755,11,"scout"
"94","kl",26,51.1704769129625,0.538240816714428,0.47055921422219,0.467157509618467,0.374409989421079,12,"soldier"
"95","K1ng",25,51.0996303756359,0.567092652732567,0.354595542241913,0.449607703214789,0.560813869714434,18,"demoman"
"96","maz",27,50.9269259745583,0.545835528571497,0.395490547127171,0.496449520759975,0.447355891537486,4,"demoman"
"97","emgee",27,50.8677206440949,0.531924547513082,0.407841808087512,0.375631405955452,0.461044524905725,6,"scout"
"98","Tricka",27,50.6246904817289,0.426387334035441,0.657851949389301,0.460247266668655,0.5258229689434,15,"soldier"
"99","Tricka",25,50.6042929076797,0.478800645851932,0.593893508124551,0.371949819984342,0.624165047999786,16,"soldier"
"100","munch",27,50.5812921093655,0.550160663790062,0.547969515557824,0.599813164254166,0.437330718728108,6,"medic"
"101","Jäger al-Maslul",27,50.5184415795805,0.574750340638279,0.507788791140397,0.584091180098685,0.413082272433654,2,"medic"
"102","conflux",27,50.414105035986,0.503210905703951,0.590581198829032,0.679800557996825,0.392019807900667,4,"medic"
"103","Rising",26,50.0874045777813,0.571437293261457,0.537018314702248,0.477453439667173,0.536800426476015,13,"medic"
"104","melons",27,50.0498488014425,0.46524969094368,0.538279489670419,0.457022480872303,0.528053498287357,16,"soldier"
"105","memories",25,49.7852915200931,0.530984265269598,0.534246842966714,0.249754657721974,0.437492161590975,4,"scout"
"106","2345y",27,49.6269172687467,0.239238737648734,0.997065977607857,0.65223003752703,0.331895162289379,1,"demoman"
"107","Shakey",27,49.5268530390705,0.356885974378601,0.595071609954915,0.657070741236002,0.511563239317145,12,"soldier"
"108","mop",26,49.4026236103783,0.512511130092826,0.373718495497806,0.437090795955585,0.613101853738526,7,"soldier"
"109","Bonk",25,49.277994459721,0.553088692480177,0.372616168774047,0.455270750685494,0.453811667297729,14,"demoman"
"110","king carl",26,49.1641681067421,0.432627713634603,0.453732166594786,0.580734817401478,0.526839011847299,11,"soldier"
"111","xander",27,49.0726072694553,0.524728538361083,0.543195850482589,0.476843491170453,0.505389778381392,12,"medic"
"112","catfish",25,49.0317701166609,0.569988170609108,0.358843395900374,0.399056190035085,0.388739601875874,15,"soldier"
"113","T3",27,48.9833235642422,0.479668584190363,0.541599661582848,0.521619203440992,0.492414362501567,17,"soldier"
"114","ZiLyfe",25,48.8638033546324,0.430426616547361,0.434273296736341,0.472439281549924,0.681123695296896,4,"scout"
"115","D-Fault",25,48.7491527593321,0.495797580544063,0.589349037263432,0.5858135717211,0.455037637559654,8,"medic"
"116","feyn",26,48.6995422780845,0.389374210574498,0.477441684954469,0.613049367276065,0.384978747033974,2,"scout"
"117","T3",25,48.683541391654,0.537084148879522,0.538933371270222,0.507053290233305,0.504605813168255,14,"medic"
"118","Bunneez",25,48.3302851222685,0.506772466676802,0.641281688947515,0.568293070209217,0.516559180551755,18,"medic"
"119","D-Fault",26,48.3189677580405,0.488675860679089,0.557056055139852,0.477832007163994,0.527985775470131,13,"medic"
"120","rohan",27,48.2577521943465,0.517526114117589,0.412693911199181,0.394898111704084,0.468287969485876,11,"soldier"
"121","rem",27,48.1822402549447,0.49634808780648,0.524289711747595,0.552783666721983,0.347566232308516,6,"medic"
"122","jay jay",25,48.1454761488437,0.474346254713888,0.335940548815972,0.455721745219345,0.580436932364961,2,"scout"
"123","bird",25,47.9896164438727,0.541864952646789,0.474634744191393,0.493743857466522,0.49702259436196,15,"medic"
"124","emgee",25,47.7293324110362,0.511350018567853,0.47597189127842,0.543783780188012,0.498439738603007,16,"medic"
"125","catfish",27,47.5971997490929,0.558387466910963,0.264151826852756,0.42111894910149,0.245763021372977,12,"scout"
"126","Fez",27,47.5215677743224,0.450630891649604,0.538030126078053,0.331682061986,0.479376168591829,13,"scout"
"127","Torque",26,47.3025979516586,0.453525128596129,0.496027812579777,0.409622073689283,0.527954353268293,6,"demoman"
"128","Sky",27,47.2391854772251,0.337240146287686,0.620627823454155,0.363522786840211,0.72315795111255,4,"scout"
"129","Hawk",27,46.9575270510759,0.420675167449533,0.518124987321362,0.523981702966709,0.540489220409766,17,"medic"
"130","shy",27,46.929478484404,0.462303968531547,0.468553679546068,0.478637994069957,0.516326611771547,15,"medic"
"131","bird",26,46.6743027457366,0.433579838280572,0.580301278280817,0.472798181818696,0.440201168610307,6,"medic"
"132","micro stiffy",25,46.4873904742942,0.49432786925616,0.419447250756445,0.329231446822581,0.440180497023091,14,"scout"
"133","Phantom",25,46.4485214868364,0.366348647997912,0.50826243756927,0.53734923404119,0.483249555098751,16,"scout"
"134","MY AUDIO GOT HACKED PART IIII",26,46.2338447613139,0.301801735691561,0.671090175771356,0.497203008171936,0.46650248311491,11,"scout"
"135","Mack",27,46.0549501016904,0.427228060723023,0.50311065936409,0.517601884583908,0.507178728181214,18,"medic"
"136","skaz",26,46.0204448932283,0.51042208809238,0.369360785142759,0.365974194172928,0.27194407919721,14,"scout"
"137","Fez",26,45.8333145222129,0.507665187730819,0.371572717173433,0.298937413366693,0.400143847813266,12,"scout"
"138","melons",26,45.7370118832066,0.383298884261964,0.473291875634935,0.448810116700986,0.562240907155403,7,"demoman"
"139","kcaj",26,45.6950994636357,0.518746735878446,0.443549837567157,0.35460070809854,0.305725313459994,12,"soldier"
"140","skaz",27,45.6550079857467,0.458699559749158,0.347478658843826,0.514796164657759,0.262382207329272,12,"scout"
"141","scandal",27,45.4730244075956,0.33517603683289,0.620607760618211,0.412057088919502,0.485582441787586,12,"scout"
"142","ayr",25,45.4168006606541,0.454100206453826,0.5262799326799,0.413230107747155,0.405556898158235,14,"soldier"
"143","ekac",25,45.2769455113501,0.345394387360513,0.5961375921827,0.534039487827452,0.564368674682473,4,"soldier"
"144","Bitler",27,45.0675308094036,0.404333942443299,0.496861984590739,0.418392688468003,0.505474602665061,15,"demoman"
"145","scandal",26,45.0072082777932,0.296016033179638,0.710335570270322,0.3255183623736,0.616807900366412,4,"scout"
"146","Ravu4",25,44.9310820788491,0.45467945832304,0.441088764841589,0.494408645341334,0.429936026142111,14,"medic"
"147","Charlie",25,44.9168137821209,0.353999900993742,0.579619657727503,0.376706777439153,0.60687587852661,14,"scout"
"148","kcaj",25,44.7597698223379,0.369165316100205,0.531192268012561,0.502381558976382,0.364590165292494,8,"scout"
"149","Precious.",26,44.7235440603158,0.328346676232045,0.65609613368906,0.381857524474914,0.541603378524077,13,"scout"
"150","Montgomery Wigglesworth",25,44.6185918112028,0.467902096161515,0.378267663288135,0.465991768277262,0.488186942109283,2,"medic"
"151","knoxu",27,44.2709797187583,0.313829527636208,0.590466229003985,0.472345633663631,0.523472123171059,4,"scout"
"152","Will",27,44.2036966029557,0.356131351965362,0.687710459381077,0.321269792690213,0.470173178297357,12,"demoman"
"153","T3",26,44.1688596145288,0.413552789960799,0.563395120677709,0.334413295406959,0.508257187128947,20,"soldier"
"154","Mikcow",26,43.9065791705524,0.459542587390614,0.370131477277615,0.426050986426136,0.442205965538918,8,"medic"
"155","signedunknown",25,43.8447714338528,0.313538667458446,0.628227313473735,0.441435677327391,0.665294452555591,1,"medic"
"156","hz",26,43.5557869506504,0.392731626358728,0.417059637777301,0.481844800684405,0.403470096563486,12,"demoman"
"157","zildjian",25,43.4736638808889,0.397467001163207,0.423689580878698,0.615198088551894,0.342091675510306,8,"soldier"
"158","b25",26,43.2005414816152,0.434407384656959,0.294009146081669,0.439283751573575,0.395869593360175,8,"scout"
"159","Montgomery Wigglesworth",26,43.1888027317649,0.321601527388916,0.451531454729656,0.36283272525102,0.487268375092485,6,"medic"
"160","Eternal",26,42.3576654130418,0.349597161054019,0.483484481076331,0.588307390598714,0.332772269589975,2,"soldier"
"161","D-Fault",27,42.3175501727445,0.391153556346035,0.365868550916754,0.411236909737718,0.250580118865668,2,"medic"
"162","snazzy",26,42.040142750415,0.377322369851364,0.365834877134938,0.439632073079097,0.295813549291449,14,"medic"
