"","nickname","ranking_points","career_avg","n","total_rank_weight","total_rank_contr","classes","impact","survive","efficiency","objective","rank","prev_ranking_points","prev_games","prev_rank","rank_change","peak_rank"
"47","rintincan -pt",40.1057364845833,49.5132549192386,8,8,396.106039353909,"soldier",0.454529279606057,0.506128780078106,0.517020760922417,0.325471577901526,47,31.9154906856635,6,50,3,47
"48","Dajono",39.4472951658324,39.9416436527917,10,8.55443492159596,337.449319329101,"demoman",0.431006916600267,0.393953143563766,0.37260211269536,0.361726397792527,48,39.556456909716,10,44,-4,28
"49","Sean",39.1656623921698,39.6496223885181,17,15.0528138050598,589.553423541163,"soldier",0.25067973054812,0.605965202573997,0.350685415827637,0.60168431319156,49,39.2745271701078,17,45,-4,12
"50","ace",39.0874034475453,59.5753748628948,6,6,357.452249177369,"soldier",0.516759405667356,0.679709204714452,0.514193811771968,0.575317634387426,50,29.4137796870333,4,54,4,49
"51","mix",38.992250037091,48.138580292705,8,8,385.10864234164,"soldier",0.39831778862391,0.688608580464111,0.400461429525041,0.351389142115705,51,33.0913074519291,6,49,-2,49
"52","kpc",37.5879172409438,46.4048360999306,8,8,371.238688799445,"soldier",0.314947082036057,0.753269983751102,0.357513264188474,0.569311151540576,52,31.8493120367432,6,51,-1,48
"53","tal",36.5495515248284,45.122903117072,8,8,360.983224936576,"medic",0.436015478133827,0.600064860247195,0.577717012496865,0.483549102721461,53,27.8536571766715,6,55,2,53
"54","andre",32.3510875107851,39.9396142108458,8,8,319.516913686766,"scout",0.364222300052323,0.616490977693426,0.212551086324454,0.351145939001847,54,25.6400636227669,6,63,9,54
"55","Shakey",31.4401608030747,47.9197695520115,6,6,287.518617312069,"soldier",0.255824794950113,0.650443735352071,0.727099517257504,0.467281791864441,55,21.7187625095114,4,73,18,55
"56","<user>",31.2785949315549,38.6155492982159,8,8,308.924394385727,"demoman",0.333483087638306,0.623856249803321,0.318899589038079,0.376105846890452,56,24.8215104478899,6,64,8,56
