"","nickname","ranking_points","career_avg","n","total_rank_weight","total_rank_contr","classes","impact","survive","efficiency","objective","rank","prev_ranking_points","prev_games","prev_rank","rank_change","peak_rank"
"17","Elmo.",52.1864173506533,51.288904276267,25,20.2172983260784,1055.06836814739,"soldier",0.49218865536048,0.585358720659161,0.520782443116643,0.479681923813341,17,51.1792215347192,27,18,1,1
"18","deft",50.8062052058717,51.5328929136448,23,18.552883404571,942.601601413246,"demoman",0.457971304625547,0.660310660394292,0.507259081726462,0.509809114366436,18,49.9987915616819,25,19,1,2
"19","feyn",50.5794055139424,51.5604640387135,39,33.883883458078,1713.82668181329,"soldier",0.460023791945674,0.603065992347554,0.526077968013902,0.554213181470658,19,51.8313023303673,39,17,-2,7
"20","ALT",48.0550148838559,47.893215132578,33,29.4811099420347,1416.71517705707,"soldier",0.413388309158809,0.561543131105632,0.496022613457647,0.538207462420056,20,47.2662763880437,33,23,3,20
"21","lexx",47.9872425303758,47.588102972659,30,26.6105593787386,1276.9673667765,"soldier",0.422940690178587,0.519649157923976,0.492434730748983,0.549332609096467,21,48.4511556991703,30,21,0,21
"22","conor",46.8883983747907,46.8082336980732,33,29.4811099420347,1382.32202749313,"scout",0.433695833593767,0.632796154363865,0.537861415506894,0.543575400712205,22,46.6283938576725,33,25,3,20
"23","jane doe",44.5862529954096,44.799830495136,26,23.4811099420347,1046.93470848859,"medic",0.459624482238565,0.475923559024998,0.446163161399213,0.393390109931735,23,45.3017732755444,24,26,3,22
"24","prankmonkey",44.5769857613196,48.9564061212725,19,15.4811099420347,766.779130506116,"demoman",0.443512968211322,0.592095988259068,0.457685541333844,0.477532778984169,24,49.6856800852553,21,20,-4,15
"25","takeyon",42.9587959113814,42.6906712814951,20,16.4811099420347,708.008638392908,"scout",0.417467421748397,0.508860262148426,0.328781048137214,0.479475586462006,25,33.7881592231044,18,32,7,25
"26","Zaka",42.91278659177,47.5920334316062,19,16.4811099420347,785.833726375595,"medic",0.480414381325591,0.53747747011481,0.479820063824938,0.529178220105598,26,47.0114026327921,21,24,-2,2
"27","Raelen",42.0637252785235,41.5686121296471,26,23.222211068627,976.812706750613,"soldier",0.371834183270619,0.46388216605919,0.462171530676978,0.344092141820523,27,41.5695607435076,24,28,1,27
"28","emgee",41.7915236082939,41.1418711012574,26,23.4811099420347,981.311360491489,"demoman",0.411523292617963,0.421948226340335,0.365962047875385,0.401984550130106,28,41.4878511309089,24,30,2,10
"29","Paulsen",41.6935567796362,41.8541966542553,31,23.6200718421217,984.804806488589,"soldier",0.371326770175967,0.465714317362597,0.35406151777602,0.591402566880478,29,41.5483181798694,33,29,0,4
"30","wulonggoth",39.9660461597981,39.5169922487904,29,25.5480769504979,1021.05562269767,"soldier",0.353154374507892,0.481662869832152,0.34953185238704,0.411520866472235,30,39.6444143490183,29,31,1,28
"31","adolo",36.6387996881443,44.7711505814693,18,15.4811099420347,700.258377921419,"scout",0.431590675604285,0.486411573467835,0.466470131372278,0.404937243057963,31,27.9004313902569,16,33,2,24
"32","rohan",33.7681950252431,50.5340169636818,16,12.4811099420347,642.378531708778,"soldier",0.453835476258095,0.585631804939035,0.538710306396994,0.480048282191341,32,42.2606151041076,18,27,-5,20
"33","starbucks",33.736649206082,51.4489872036048,16,15.1402213592229,778.509887057662,"scout",0.444415537271917,0.545279826863478,0.629765423920019,0.63923432324699,33,27.8932943939239,14,34,1,26
"34","benjay",32.5254556866601,55.4119496831346,15,12.7400088154425,701.747010405483,"soldier",0.503981524845442,0.667496859922689,0.549559713651197,0.556709676936555,34,48.4274741316761,19,22,-12,13
"35","Precious.",32.290749759102,49.8796074524579,16,13.4811099420347,663.489022425219,"scout",0.550112171930925,0.482427550590742,0.444884574901795,0.344667735885899,35,27.0423287527673,14,36,1,34
"36","T3",28.0316264299393,43.5965681646636,16,14.4748225997382,618.431366796991,"scout",0.410846184323393,0.552364297373288,0.515563803403602,0.437757551101308,36,22.7916772448004,14,42,6,36
"37","Fez",27.9934383272138,42.5159555429482,16,13.4811099420347,575.190702247734,"soldier",0.397095808354932,0.473929969838308,0.429979796557843,0.371520589148732,37,22.9206654548952,14,41,4,37
"38","seraph",24.5460345525056,46.2266663041635,14,11.4811099420347,530.285998517804,"scout",0.522491142952323,0.36432913005654,0.466666937286541,0.369946542358782,38,24.5620562557167,14,38,0,38
"39","kl",24.3843006772744,45.4454619994491,14,11.4811099420347,526.791942916371,"soldier",0.415361339148992,0.566896071124223,0.439034512916607,0.374278592651104,39,24.3930897203969,14,39,0,39
"40","namey",23.7613508374427,55.1989798187944,12,12,662.387757825533,"scout",0.532351793830449,0.598955569703368,0.549135007132065,0.660613978863844,40,23.8322618926516,12,40,0,9
"41","Shupah",22.6579594909715,53.3530897002424,12,8.06231262878493,424.365779095129,"soldier",0.533242305952648,0.48655847856931,0.544025167790191,0.629581921167252,41,27.0699136841106,14,35,-6,7
"42","Essence",21.5387480180962,49.9178301378135,12,9.06689637966163,453.668925044768,"medic",0.570958974307773,0.557355646345442,0.51619115477862,0.473619457074395,42,21.5387480180962,12,43,1,23
"43","Trumpet",21.4884484832565,40.3135182986893,14,11.4811099420347,464.230722733129,"soldier",0.370401850510549,0.551950918217851,0.293192971968274,0.38112450491458,43,21.5068657951176,14,44,1,31
