"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes"
"38","Elmo.",20,67.4320030669399,0.655903897310457,0.59597556706905,0.740887929969409,0.653165584671136,19,"scout"
"39","Zaka",17,67.4127695800739,0.762212227133198,0.532234354658318,0.661906864642971,0.70596429256922,16,"soldier"
"40","krollic",19,67.1037295009974,0.563498657311168,0.715948587999931,0.632099084662295,0.682348732096624,18,"soldier"
"41","jiho",19,67.0690625362053,0.569476853780805,0.576610784934739,0.733061263519874,0.726065795210051,2,"soldier"
"42","Yui",22,66.9847918547495,0.705948620766775,0.468924026035986,0.596141771908289,0.73587516447365,2,"scout"
"43","Geoh",19,66.9117478463578,0.679609593338556,0.503599391914203,0.572106452099719,0.65787188210069,18,"soldier"
"44","AiShou",29,66.8248585466859,0.740819457459238,0.528113503787643,0.603196015238348,0.683606717740962,10,"scout"
"45","lau",24,66.704701229568,0.555206760167358,0.705121271722586,0.691529340882859,0.646091771848424,20,"scout"
"46","Geoh",15,66.6885748128359,0.74323570065837,0.468774404193654,0.517263735717351,0.642508778759641,24,"soldier"
"47","Paulsen",14,66.5849552969308,0.570657908703943,0.673940809406079,0.712769354643739,0.713655334256529,18,"demoman"
"48","down",25,66.4026792770783,0.557488178704365,0.654370060845704,0.683274164934192,0.742523548600798,15,"scout"
"49","redcoat",25,66.1294341731924,0.629472611900104,0.589858280297487,0.58608328048504,0.653223405608787,17,"demoman"
"50","teejay",19,66.0540107224663,0.623858137809758,0.649570052927441,0.625886513510694,0.569214787197657,20,"scout"
"51","Geoh",18,65.9790010818757,0.742990081470238,0.394578996909127,0.687533239421612,0.659081683603427,16,"scout"
"52","termo",15,65.9747839286236,0.668528573207494,0.528752701486729,0.700998326327728,0.574594924773872,22,"demoman"
"53","enrith",24,65.921526190531,0.615436433008142,0.654900756986647,0.570380325190443,0.586119104930548,20,"demoman"
"54","Paulsen",19,65.9162989201817,0.65116561792528,0.549599435039838,0.568544189645649,0.703775366392891,16,"demoman"
"55","deft",23,65.838844599643,0.661314563247893,0.643629446944743,0.611355898014658,0.56896120217125,9,"demoman"
"56","cooki",29,65.7914783122734,0.715542553255517,0.538498513930796,0.581463273852656,0.725176505704193,10,"scout"
"57","b4ne",17,65.7549747871346,0.587387734186964,0.721985283792337,0.798555088055725,0.738097713722845,4,"soldier"
"58","teejay",26,65.7187888428427,0.672290008034881,0.587344094595759,0.463302814897366,0.60647967558495,21,"scout"
"59","Yui",20,65.7086154357993,0.783759210816343,0.21910793360496,0.707513144187954,0.65276664810629,2,"scout"
"60","Elmo.",15,65.6886651218267,0.645345861236317,0.530029742771871,0.725533967383682,0.632163092374095,24,"scout"
"61","teejay",16,65.6034787569415,0.652479827458033,0.572464641038804,0.652199727210703,0.589701025849195,15,"scout"
"62","riot",25,65.4586029957609,0.588007221764483,0.574431448193434,0.619591581395061,0.660354771233902,17,"soldier"
"63","AiShou",22,65.4378663568051,0.637537323945741,0.61132385630105,0.631899273991643,0.583597967588615,14,"scout"
"64","v4na",23,65.3718814684763,0.682152347394013,0.562723416815605,0.592160718494607,0.55539078383367,17,"soldier"
"65","Mercyless",16,65.3598534648883,0.710541851125709,0.427576725127778,0.585836563608185,0.557449492634022,17,"soldier"
"66","Roro",16,65.3518164440255,0.696689107783317,0.507787355497928,0.593545843010209,0.450102667951378,10,"soldier"
"67","dubious",19,65.2583758932459,0.636130068487925,0.539297217006258,0.567804751654155,0.633767573755152,4,"soldier"
"68","Raze",26,65.2369228837919,0.683191759206598,0.475640278210708,0.549503387692347,0.433313890084079,2,"soldier"
"69","yewl",29,65.0935981850413,0.646451460689466,0.660619082905193,0.560160607769967,0.694704224603378,10,"soldier"
"70","cooki",22,64.9695471032624,0.586945729116254,0.58537508042511,0.731923046848204,0.646621800593125,19,"scout"
"71","pr1med",15,64.9044958036558,0.617446786302985,0.716824378324342,0.758747100865471,0.733215027390082,5,"medic"
"72","feyn",29,64.886591920647,0.619385377736894,0.574032659436882,0.700164310749055,0.685930520925285,8,"soldier"
"73","kai",28,64.8838402522561,0.609619710004863,0.436744892207447,0.77062041390054,0.414071441440341,4,"scout"
"74","Spade",26,64.7040645495962,0.523257763405832,0.622506551825726,0.706594247350461,0.583428517823394,6,"soldier"
"75","lau",26,64.655928698392,0.546899817123462,0.571164721250756,0.713769268373952,0.644901004521374,8,"scout"
"76","down",28,64.6362713594924,0.550306260022898,0.667448815461739,0.585250082942035,0.689729699371341,23,"scout"
"77","enrith",27,64.5041562571997,0.608354719387313,0.651035539038686,0.568314528494456,0.622458524232457,18,"demoman"
"78","v4na",27,64.4704664452492,0.652898995051423,0.495550889849714,0.657970177336716,0.428122466004476,5,"soldier"
"79","yewl",28,64.3916662709163,0.574390412867198,0.648779920044421,0.507274517936151,0.625697094793175,19,"soldier"
"80","riot",20,64.3912077923305,0.590920714485247,0.601247243304078,0.677698650260637,0.633006600466755,14,"soldier"
"81","yuki",15,64.3656028825341,0.650714847646541,0.533714224234261,0.662590916236842,0.540913444144364,22,"scout"
"82","v4na",18,64.2971987211408,0.658170925346848,0.528503040787435,0.687340001557594,0.564578268240497,10,"scout"
"83","tstm",17,64.2375055791916,0.653908821282491,0.637058034074778,0.647261335770653,0.704757770115078,2,"soldier"
"84","Geoh",17,64.0797665677133,0.732767445285426,0.502222834946109,0.695092676434815,0.622377419649066,10,"scout"
"85","redcoat",28,64.0332990947001,0.564976927943957,0.656717274243127,0.549245037620724,0.624450904638483,17,"demoman"
"86","Elmo.",16,64.0189734466096,0.618678454857185,0.538447288506066,0.714481375614093,0.533685766204859,19,"scout"
"87","teejay",25,64.0113616402151,0.694380204162351,0.533385975205198,0.447270967877534,0.56168537097176,17,"scout"
"88","deft",20,63.9937459336586,0.581013647850536,0.667454874873981,0.682157757728667,0.610046045682752,17,"demoman"
"89","AiShou",21,63.948906038526,0.641786828746225,0.554965226282904,0.670778778877679,0.531404657519918,12,"scout"
"90","matttt",23,63.8699253373139,0.652283874810371,0.593279583521523,0.503011291212527,0.628839424853562,4,"soldier"
"91","deft",26,63.8613040918702,0.571210207635715,0.634193617976365,0.579217231079467,0.591180328457014,19,"demoman"
"92","kanye",20,63.6912966453917,0.547218432221918,0.785288097316953,0.613459134380421,0.678637136830841,2,"scout"
"93","Geoh",20,63.6770129056103,0.697292774198855,0.477628111852289,0.573857296906506,0.605238313579312,12,"soldier"
"94","teejay",24,63.5763036809011,0.648935363471653,0.566860470105453,0.498918403846383,0.557079189493431,15,"scout"
"95","v4na",20,63.5221407748912,0.561378768761163,0.622658652892572,0.692638279825504,0.633811455986259,5,"soldier"
"96","Sam.",19,63.4892301238868,0.61537330568967,0.523528552382383,0.682364336802202,0.508765172526966,13,"scout"
"97","Raze",28,63.4694366291823,0.437605899602538,0.786667641433654,0.758698533715182,0.578891492569956,4,"scout"
"98","krollic",20,63.4062652563489,0.647682983831413,0.548643428629504,0.521709020787313,0.679313478485617,15,"soldier"
"99","rohan",27,63.3738479144688,0.588042694989389,0.718248018801845,0.467674875784466,0.588074786165333,2,"soldier"
"100","silvo",29,63.3201214466294,0.607153495891469,0.617698086224869,0.6251988190425,0.76413800822817,9,"scout"
"101","deft",19,63.3173987465583,0.59091078057995,0.623756697616959,0.598331469758442,0.542284798718916,14,"demoman"
"102","teejay",15,63.2886792967111,0.706609190163168,0.412987079765877,0.656065760339061,0.450376119332732,8,"scout"
"103","Geoh",29,63.2639549017685,0.71182425659307,0.424009010592726,0.541908632865332,0.7251470905175,2,"scout"
"104","Jersh",17,63.2330755830194,0.787625734601141,0.390360375044203,0.611657585816706,0.488891545107999,6,"soldier"
"105","cooki",28,63.2261028344863,0.681564967899926,0.483299371380244,0.410020723562939,0.593744531289368,16,"scout"
"106","dubious",18,63.2156670385738,0.641751313027184,0.588408135295924,0.560289329979108,0.587786073156573,11,"soldier"
