"","nickname","ranking_points","career_avg","n","total_rank_weight","total_rank_contr","classes","impact","survive","efficiency","objective","rank","prev_ranking_points","prev_games","prev_rank","rank_change","peak_rank"
"18","rintincan -pt",54.9821750040817,54.8584948593233,17,15.1616020312618,833.617856225079,"soldier",0.548186761996262,0.466689402053619,0.679846612681409,0.455355851881748,18,54.9652218140912,17,17,-1,14
"19","aino",54.5744606839706,54.5744606839706,10,10,545.744606839706,"scout",0.449155753890193,0.704417871240966,0.506925533871053,0.619420059106248,19,47.5647365768952,8,47,28,19
"20","no`",54.3650320971442,53.396214570252,12,11.4142135623731,620.534086682071,"scout",0.394367192703456,0.816800711096679,0.532351953182189,0.500093724891158,20,51.9839833860009,10,27,7,20
"21","tanking",54.2204169276821,54.2204169276821,10,10,542.204169276821,"soldier",0.488853420130341,0.570583527482514,0.604182940353007,0.634165430766216,21,41.3549073235224,8,74,53,21
"22","TG",53.825810965324,53.7879842087775,14,13.4194195060221,722.311137595527,"scout",0.530057876290546,0.569449199077221,0.463438701351165,0.52940400431573,22,53.3450510861598,12,21,-1,21
"23","andre",53.7439361503543,53.5434726945541,13,12.021380672039,646.076315277165,"scout",0.500294306811966,0.632720583113637,0.456310549038814,0.50540528568025,23,53.6329776643034,13,19,-4,17
"24","micro stiffy",53.161376648798,53.1240191850202,14,12.2955360481882,653.647622956607,"scout",0.553012013404001,0.505973882329632,0.424448238923234,0.517151363536947,24,53.1760360441872,14,23,-1,19
"25","Bitler",53.146699647491,52.1703158887884,27,22.9564230262937,1220.05811955918,"demoman",0.451732674424979,0.618192948768349,0.555756762854144,0.602012421849123,25,53.4237029394845,29,20,-5,20
"26","adam",53.1092428500744,53.6086334036482,16,13.4357574074111,713.562903024881,"soldier",0.525314362059716,0.625306135131673,0.470798787183537,0.497997262474098,26,53.2404831557278,16,22,-4,9
"27","Raelen",53.0050955714593,53.0025761977365,24,22.1616020312618,1174.67783368368,"soldier",0.518161609315997,0.597663847930949,0.517250666118713,0.552877790263889,27,53.0656962885888,24,24,-3,15
"28","deceptive",52.787124108573,52.787124108573,10,10,527.87124108573,"scout",0.546777640309492,0.634588489956374,0.320097218834099,0.466156295000244,28,37.7635167756724,8,87,59,28
"29","davi",52.3587000223439,63.8173789735229,8,4.53997972830622,293.465971236923,"scout",0.632406732251417,0.742830826580192,0.43910355406968,0.684910159492485,29,63.0569772104245,10,3,-26,2
"30","munch",52.0893395976848,51.7921744923993,13,12.021380672039,626.185780258882,"medic",0.604760680580227,0.641651403711459,0.579265354004287,0.600265104165583,30,52.0483794907582,13,26,-4,15
"31","Sky",51.8997219504327,51.5194966217648,15,13.5370972385494,702.571582696682,"scout",0.454806159045211,0.699699887122879,0.347418113236953,0.614573557850984,31,51.8928330994859,15,28,-3,25
"32","ekac",51.7765811862187,52.2339293067043,20,18.5370972385494,959.78752012858,"soldier",0.446797510141957,0.71636424198147,0.508971588738964,0.552165277656612,32,51.801724087599,20,29,-3,14
"33","Mio",51.4507038314322,51.8329504397246,11,9.60406424701255,494.135865151089,"scout",0.393814967710747,0.668719887132599,0.57909510907104,0.549434617450903,33,51.5514279924111,11,30,-3,26
"34","morphe",51.2207934419215,51.1614621616354,10,9.86606598307361,505.347727803382,"demoman",0.518631407964991,0.51138380231123,0.499656814336236,0.484196835036141,34,51.1614621616354,10,32,-2,9
"35","BushMario!",51.1861859713437,50.4672407509107,12,11.6245047927125,595.014064144557,"scout",0.540577795063418,0.488323664920235,0.390422822360172,0.417388201629878,35,50.1416286916875,10,34,-1,34
"36","frydog",49.9214300785842,50.0089955511441,20,18.1616020312618,906.65314591871,"demoman",0.47268087609097,0.52202923247112,0.513734827357267,0.539826128020488,36,49.7918611387259,18,36,0,26
"37","kai",49.7733428970393,61.4485714778263,8,8,491.58857182261,"demoman",0.659908495244142,0.671998604887323,0.702713101836014,0.683238463655893,37,36.1850194449595,6,91,54,37
"38","sphilliz",49.5882812578125,50.1818176724418,15,13.5370972385494,671.281385279542,"scout",0.483051159896021,0.492386898400273,0.463786834354303,0.521666726601791,38,49.6199602764094,15,38,0,26
"39","kcaj",49.5767396037893,48.888486771349,13,11.8629631204203,588.127033550433,"scout",0.434506602219982,0.593516017062282,0.418695211321804,0.552513427718544,39,49.5172067451677,13,39,0,28
"40","myyyst",49.4687533176815,49.5518299362404,10,6.21506724562524,307.451628426638,"scout",0.416184213384897,0.525034032348703,0.6095228632169,0.522369035696348,40,49.807845423428,12,35,-5,6
"41","mix",49.3640045429255,49.9465698492418,17,15.1616020312618,748.437391549237,"soldier",0.484331547223269,0.664697328521474,0.399143120886308,0.467394817067272,41,49.4396052358758,17,40,-1,26
"42","Ravu4",49.3217543981891,49.8154683905729,30,24.7015817595681,1218.3253487922,"medic",0.547180223583249,0.560841804417033,0.605617008318519,0.581131589551301,42,49.3190210892953,30,41,-1,25
"43","ZiLyfe",49.0185009024961,54.3212742502119,9,5.02596540837676,273.739211007145,"scout",0.377627087414557,0.688864451765836,0.716270485795562,0.581995977201301,43,54.1438528821697,11,18,-25,18
"44","Dip",48.9292399898356,49.0076803398848,14,12.5370972385494,613.430639560886,"soldier",0.358901108904547,0.75410789067567,0.520840834107624,0.564831156182858,44,49.0523884455214,14,42,-2,22
"45","huffy",48.289968649792,48.7643001509445,12,10.2955360481882,497.171112999812,"demoman",0.389349421767513,0.691219198786257,0.492895999153426,0.525127121480415,45,48.3335249774835,12,44,-1,41
"46","Rockeyroad1415",48.1304499283784,48.2830149547262,19,17.5370972385494,844.068380529102,"medic",0.53877189544506,0.521847507837021,0.503829442402693,0.531393999347808,46,48.1500059521758,19,45,-1,37
"47","Pengstah",47.7559871921874,47.7105260642139,10,9.86606598307361,471.16372072494,"demoman",0.399076062470654,0.59958958572612,0.496391162940296,0.538763119966476,47,37.9070566551067,8,86,39,47
"48","roymond",47.5559442461928,47.4387491445626,14,13.1228836761763,624.071124453512,"soldier",0.555143952971554,0.430380322874057,0.482082579764529,0.505564192076738,48,47.5235450627349,14,48,0,46
"49","Andyroo",47.5359887413737,47.7324165080036,28,26.1616020312618,1243.61761961436,"soldier",0.426521851065874,0.550878044101487,0.548112174779963,0.473096655553968,49,48.9544065272271,26,43,-6,40
"50","tal",47.4651347069881,47.5469156497713,14,12.5370972385494,595.075009262354,"medic",0.435332710573544,0.617900388672387,0.579441407999931,0.539693737302379,50,47.4582695310079,14,49,-1,44
"51","Silver",47.3912258489509,47.4525971890871,14,12.2955360481882,582.700525793605,"medic",0.47229107853981,0.540760191559634,0.511526130169612,0.623798349929673,51,47.4084907781189,14,50,-1,43
"52","seraph",46.9014697215532,57.4977701268967,8,4.53997972830622,262.878668843975,"soldier",0.511321026532725,0.548752302260634,0.732317157286907,0.62457021830282,52,56.9321838504012,10,12,-40,1
"53","Daz",46.8181430284106,58.0969252466917,8,4.69935067911485,271.62329905612,"demoman",0.638115194176982,0.501908167661234,0.582179623380697,0.490977851706646,53,58.9421241720132,10,9,-44,5
"54","Raina",46.3475690704357,46.3475690704357,10,10,463.475690704357,"medic",0.474721574222984,0.483227514740584,0.457335244052256,0.586545512510293,54,38.9754650881797,8,81,27,54
"55","K1ng",46.3120975811145,57.2501300046794,8,6.29553604818821,359.949975048292,"demoman",0.656994703692469,0.298871020092382,0.6740608858581,0.50827986391039,55,46.3120975811145,8,52,-3,20
"56","Custard",45.6121681836251,45.6121681836251,10,10,456.121681836251,"soldier",0.385382518552381,0.636921125083996,0.522497505033525,0.463129504730335,56,37.0920224114773,8,90,34,56
"57","Tricka",45.5289635157174,50.2064702441156,9,5.02596540837676,254.252217454715,"soldier",0.4745319033386,0.555226737970447,0.510391417767292,0.537845388765893,57,45.5289635157174,9,53,-4,29
"58","snazzy",45.4894382613434,45.0155571972958,24,20.2333754937981,920.404885343708,"medic",0.434901708417221,0.504548878095147,0.50180067264972,0.354469649941671,58,45.4765423402793,24,54,-4,44
"59","harvey",45.4144090402828,45.1263543186773,12,10.1616020312618,461.483151152293,"scout",0.424823045315637,0.542765032650718,0.37546444355437,0.383896008717418,59,45.4159412047754,12,55,-4,52
"60","catfish",45.0773561697002,45.4104101821403,24,20.2333754937981,912.067073649222,"scout",0.463615501489208,0.440829085788828,0.432662444474795,0.347137422907597,60,45.084315181461,24,56,-4,20
"61","quest",45.0601835389836,44.5866674214799,10,8.16160203126183,367.763285500799,"scout",0.385386254503089,0.442411692814792,0.491442451943868,0.495941630579849,61,45.0601835389835,10,57,-4,53
"62","Yauch",44.8478221480336,56.1969715764743,8,6.74738846888873,373.587256810389,"scout",0.62046317095957,0.427246994314093,0.537661111790755,0.506195160336153,62,44.8478221480336,8,59,-3,51
"63","Eddie",44.8066969898299,44.8563963895537,15,13.2955360481882,595.72905502853,"demoman",0.355091904920178,0.6825069853166,0.383610836713712,0.509643469517545,63,44.8028389648467,15,60,-3,57
"64","wulonggoth",44.419833213154,49.7027115836838,9,5.02596540837676,248.058383527975,"scout",0.496028426443718,0.476095552052542,0.434114851653587,0.518456502632545,64,50.1847012669082,11,33,-31,3
"65","Mack",44.3612556503926,44.8146514991702,18,12.8609527103767,570.528011092629,"medic",0.436516827850537,0.433756736277355,0.508076957485518,0.472844047907022,65,44.5768942784306,20,61,-4,42
"66","Montgomery Wigglesworth",43.9303283802267,43.5203961958385,20,18.2955360481882,803.728906489183,"scout",0.305755405983627,0.578898131422428,0.441980707722168,0.542342394159941,66,41.9726730051938,18,71,5,58
"67","weaponfire",43.8120839879127,54.3124964801674,8,4.53997972830622,245.562929827128,"scout",0.448026132675262,0.575292457131126,0.57420701358225,0.722598297396759,67,51.4692401539272,10,31,-36,15
"68","Laz.",43.7868363493614,43.6023687235058,20,18.1616020312618,795.239095985091,"scout",0.342862131341535,0.551420593875184,0.420382586893298,0.534379654249391,68,43.6672772738982,20,64,-4,61
"69","skaz",43.7369985280282,43.9082126735016,26,21.6475890561712,946.800570685121,"scout",0.458322535135725,0.428222569366195,0.41394132060884,0.336366363356319,69,43.8249926481207,26,62,-7,3
"70","DeDstar",43.6924473348638,60.1290124533386,7,6.74110112659225,404.026345614023,"scout",0.510520706319881,0.635438036549181,0.688226556131404,0.642587867746976,70,43.7621291523269,7,63,-7,59
"71","sea anarchy",43.081639614116,43.1224315056293,10,8.88132248581512,382.621934630631,"medic",0.398615599545439,0.432735841495595,0.396067497694114,0.465182973948831,71,43.1088991639016,10,67,-4,63
