"","name","class_primary","total_mins_played","season","kills_per_minute","kills_per_death","ka_d","damage_per_minute","heals_per_minute","damage_per_heal","caps_per_minute","deaths_per_minute","dt_per_minute","dt_per_heal","damage_per_dt"
"1","Ben","scout",273.8,20,0.858290723155588,1.4968152866242,2.26114649681529,232.582176771366,203.898294491591,5.0657067854586,0.325054784514244,0.573411249086925,194.620160701242,4.23888314374354,1.19505695573029
"2","dauq","scout",371.483333333333,20,0.963704069271838,1.44939271255061,1.93927125506073,268.227376732918,194.401388665112,7.36561206386753,0.296110188882408,0.664901969581408,204.111445107452,5.60496747486694,1.31412217767461
"3","dubious","scout",121.916666666667,20,0.885850991114149,1.0188679245283,1.4811320754717,285.063568010936,198.160202166017,7.09554920375664,0.180451127819549,0.869446343130554,254.304853041695,6.3299305839118,1.12095213520836
"4","Elmo.","scout",428.95,20,1.01876675603217,1.79835390946502,2.65020576131687,284.016785173097,189.308217272609,9.06735635605835,0.424291875509966,0.566499592027043,191.523487585966,6.11446859184281,1.48293448888672
"5","Geoh","scout",132.2,20,0.998487140695915,1.62962962962963,2.40740740740741,285.143721633888,221.222738164933,4.50909090909091,0.234493192133132,0.612708018154312,222.481089258699,3.51818181818182,1.28165374677003
"6","heebs","scout",334.183333333333,20,0.76006184230213,1.2636815920398,1.98507462686567,232.668694828188,221.429436500214,3.66729553815678,0.394992768440477,0.601466261034362,204.519475337888,3.22361098009622,1.13763588745666
"7","HERTZ","scout",277.033333333333,20,0.902418481530502,1.30208333333333,1.86979166666667,273.782938274576,199.323205056141,6.62303527768075,0.411502827577909,0.693057393815425,216.695945132956,5.24205378973105,1.26344283049041
"8","himari","scout",178.6,20,0.621500559910414,0.982300884955752,1.61946902654867,190.895856662934,185.33124389025,6.98075348075348,0.403135498320269,0.632698768197088,168.325867861142,6.15540540540541,1.1340850879819
"9","hyper","scout",318.533333333333,20,0.951234826287149,1.44976076555024,2.09090909090909,256.638760987861,198.153699789981,6.38905822586948,0.276266220175806,0.656132272917539,199.241314357472,4.96014067995311,1.28808004411881
"10","kure","scout",434,20,0.774193548387097,1.344,2.02,228.168202764977,196.215634000735,5.96823770491803,0.331797235023041,0.576036866359447,186.746543778802,4.8847637415622,1.22180683052019
"11","lau","scout",121,20,1.02479338842975,1.74647887323944,2.09859154929577,275.512396694215,212.869516774853,5.01987652461979,0.264462809917355,0.586776859504132,182.619834710744,3.3273603372986,1.50866633479658
"12","lepingu","scout",249.266666666667,20,0.710082909868949,1.01724137931034,1.48275862068966,207.921904252474,184.884122704312,7.72975391498881,0.188553089061246,0.698047606311848,193.916822679861,7.20909768829232,1.07222210728841
"13","Luggnuts","scout",338.1,20,0.638864241348713,0.995391705069124,1.55760368663594,199.121561668146,203.992317745762,4.32806171648987,0.372670807453416,0.641821946169772,204.436557231588,4.44358727097396,0.974001736111111
"14","Madness","scout",262.216666666667,20,0.880950867603127,1.63829787234043,2.38297872340426,245.468759931354,215.288975689709,4.28364168774125,0.343227610754465,0.537723256848662,187.131507023454,3.26560628244376,1.31174468605433
"15","Sam.","scout",233.4,20,1.2382176520994,2.36885245901639,3.45901639344262,305.154241645244,213.585047874586,5.48840255837251,0.612682090831191,0.522707797772065,197.253641816624,3.54773830623411,1.54701448771694
"16","spj","scout",175.15,20,0.890665144162147,1.1063829787234,1.49645390070922,250.134170710819,201.610683142287,5.73367360293155,0.102769055095632,0.805024264915786,222.420782186697,5.09841643763905,1.12459891675437
