"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes","div"
"53","AiShou",28,68.3647913479075,0.631615200313857,0.692350778346878,0.534228791973473,0.665387204429825,19,"scout","prem"
"54","cooki",24,68.3127556720665,0.697687562793126,0.665678947385214,0.455273750649003,0.623819206633462,16,"scout","prem"
"55","Optivex",25,68.1995242628379,0.677643970019004,0.554316245557997,0.536345540795426,0.773102338570883,2,"soldier","inter"
"56","davi",24,68.0869651625454,0.68593978574598,0.448191465156726,0.685720577727962,0.610955418387143,2,"scout","inter"
"57","Tohka",28,68.0427939515093,0.651008883503513,0.580783186519075,0.482787558045626,0.51231174328407,21,"scout","inter"
"58","davi",27,67.8095268845312,0.651208554545982,0.677680107060105,0.507867590486513,0.667617557972204,16,"scout","inter"
"59","enrith",21,67.8035894312793,0.684126783400014,0.549136488458341,0.668400738223881,0.702214649014376,17,"demoman","prem"
"60","AiShou",26,67.6460994391512,0.667295519482782,0.543801883381668,0.593794981974006,0.614289574607788,21,"scout","prem"
"61","Elmo.",18,67.6399360053874,0.713217996913421,0.484948579607744,0.754641633389906,0.676874291350962,11,"scout","prem"
"62","Madness",16,67.5703166709051,0.541734661726784,0.758221663337956,0.781605914137175,0.709382997368537,10,"scout","prem"
"63","AiShou",23,67.5667784803219,0.712117493843158,0.528311086660737,0.708528330986373,0.538122026289935,12,"scout","prem"
"64","enrith",17,67.5251488405823,0.677339847756802,0.719901384144858,0.786784322409626,0.697461748383407,16,"demoman","prem"
"65","Elmo.",20,67.4320030669399,0.655903897310457,0.59597556706905,0.740887929969409,0.653165584671136,19,"scout","prem"
"66","Zaka",17,67.4127695800739,0.762212227133198,0.532234354658318,0.661906864642971,0.70596429256922,16,"soldier","prem"
"67","DeDstar",28,67.3411710310304,0.510520706319881,0.635438036549181,0.688226556131404,0.642587867746976,7,"scout","inter"
"68","Smily",29,67.266859594953,0.521478247409638,0.549097578489015,0.728991303702106,0.63735307764336,6,"soldier","high"
"69","Susu",28,67.1988490504856,0.611699892371404,0.597261191874257,0.48004080860066,0.618873739337778,22,"scout","inter"
"70","melons",28,67.1872008167139,0.584481497601463,0.60884852733322,0.451088529088184,0.594165619532079,2,"soldier","high"
"71","pause",25,67.182853730424,0.65896226528958,0.556483515230932,0.677075485767778,0.357915832557162,2,"scout","inter"
"72","krollic",19,67.1037295009974,0.563498657311168,0.715948587999931,0.632099084662295,0.682348732096624,18,"soldier","prem"
"73","jiho",19,67.0690625362053,0.569476853780805,0.576610784934739,0.733061263519874,0.726065795210051,2,"soldier","prem"
"74","Yui",22,66.9847918547495,0.705948620766775,0.468924026035986,0.596141771908289,0.73587516447365,2,"scout","prem"
"75","Vanquish",24,66.9278083401451,0.68454870457548,0.570079367188735,0.508067081030346,0.6188247808737,20,"scout","inter"
"76","Geoh",19,66.9117478463578,0.679609593338556,0.503599391914203,0.572106452099719,0.65787188210069,18,"soldier","prem"
"77","AiShou",29,66.8248585466859,0.740819457459238,0.528113503787643,0.603196015238348,0.683606717740962,10,"scout","prem"
"78","lau",24,66.704701229568,0.555206760167358,0.705121271722586,0.691529340882859,0.646091771848424,20,"scout","prem"
"79","Geoh",15,66.6885748128359,0.74323570065837,0.468774404193654,0.517263735717351,0.642508778759641,24,"soldier","prem"
"80","Paulsen",14,66.5849552969308,0.570657908703943,0.673940809406079,0.712769354643739,0.713655334256529,18,"demoman","prem"
"81","prankmonkey",26,66.5647748364989,0.64428281239632,0.639059443346845,0.665657151266541,0.510285056357673,20,"demoman","inter"
"82","luca$",28,66.5166321271033,0.573077050727771,0.70353458607423,0.619289481986645,0.622233828815018,16,"demoman","high"
"83","down",25,66.4026792770783,0.557488178704365,0.654370060845704,0.683274164934192,0.742523548600798,15,"scout","prem"
"84","Laz.",29,66.2512958354325,0.757440211775205,0.351892062166178,0.509635623699127,0.50762739126161,2,"scout","inter"
"85","takeyon",26,66.236485969289,0.653245631153693,0.585559726913064,0.470454560070969,0.686779211679688,20,"scout","inter"
"86","redcoat",25,66.1294341731924,0.629472611900104,0.589858280297487,0.58608328048504,0.653223405608787,17,"demoman","prem"
"87","teejay",19,66.0540107224663,0.623858137809758,0.649570052927441,0.625886513510694,0.569214787197657,20,"scout","prem"
"88","Geoh",18,65.9790010818757,0.742990081470238,0.394578996909127,0.687533239421612,0.659081683603427,16,"scout","prem"
