"","name","class_primary","total_mins_played","season","kills_per_minute","kills_per_death","ka_d","damage_per_minute","heals_per_minute","damage_per_heal","caps_per_minute","deaths_per_minute","dt_per_minute","dt_per_heal","damage_per_dt","ubers_per_minute","healing_per_minute","drops_per_minute","drops_per_uber"
"1","arnold","medic",407.183333333333,20,0.0613974049363514,0.1953125,1.6953125,23.3973230731448,-3.83806288651508,0.445811885821245,0.235766034955589,0.314354713274119,121.566861773976,2.31633130556855,0.192464646464646,0.454340796529,1133.55944402522,0.0196471695796324,0.0432432432432432
"2","bird","medic",198.433333333333,20,0.0201579035780279,0.0493827160493827,1.33333333333333,11.3992944733748,-2.86684381307278,0.213255397379089,0.141105325046195,0.408197547455065,143.050562741475,2.67615725464316,0.0796871697315578,0.418276499244079,1046.82345466103,0.0201579035780279,0.0481927710843374
"3","blank","medic",148.3,20,0.0404585300067431,0.0821917808219178,1.12328767123288,14.7741065407957,7.68482984455935,0.230825958702065,0.175320296695887,0.492245448415374,162.23870532704,2.53476611883692,0.0910640066500416,0.397842211732974,1067.65441881392,0.0269723533378287,0.0677966101694915
"4","cos coa","medic",280.966666666667,20,0.0320322695456163,0.0810810810810811,1.18918918918919,16.2012101079606,-4.37490084630041,0.311887632750942,0.16727962984933,0.395064657729268,142.817653339661,2.74936622130867,0.113439828544372,0.409301221971764,1050.97552781636,0.0391505516668644,0.0956521739130435
"5","fk","medic",181.016666666667,20,0.0662922382837676,0.11214953271028,0.654205607476635,19.213700395912,-14.9431592306566,0.464352469959947,0.165730595709419,0.591105791363595,164.912991437253,3.98558077436582,0.11650810665952,0.325936838228524,1025.97150700173,0.0276217659515698,0.0847457627118644
"6","Halfwrong","medic",415.216666666667,20,0.0289005739975113,0.09375,1.8046875,10.7365632400755,-5.50853877615037,0.211299649255854,0.219162686147794,0.308272789306788,120.42869184763,2.37008247227225,0.0891528677705783,0.435916991129129,1063.71563646361,0.0192670493316742,0.0441988950276243
"7","jen","medic",224.633333333333,20,0,0,0.828571428571429,3.44561507642083,3.38562323559233,0.0577095138681777,0.124647573824009,0.467428401840036,162.558243062769,2.72263644497465,0.0211961879723957,0.360587624276599,1036.86264676253,0.0178067962605728,0.0493827160493827
"8","lock","medic",202.033333333333,20,0.0643458175218611,0.236363636363636,2.30909090909091,10.2854314469559,-6.20012245484936,0.20521429982224,0.178188417752846,0.272232304900181,115.446295990761,2.30337744420304,0.0890927799691305,0.420722653027553,1039.71067136789,0.024748391354562,0.0588235294117647
"9","rem","medic",261.15,20,0.061267470802221,0.120300751879699,1.15037593984962,25.3417576105686,2.90976277193888,0.427851047323507,0.145510243155275,0.509285851043462,172.567489948306,2.91349883630721,0.146851284782319,0.382921692513881,1115.5134424359,0.0268045184759717,0.07
"10","bird","medic",214,19,0.0420560747663551,0.0756302521008403,0.663865546218487,14.4252336448598,8.47850079445253,0.222614840989399,0.0934579439252336,0.55607476635514,189.163551401869,2.91923271075215,0.0762579975791112,0.350467289719626,1096.20022770093,0.0420560747663551,0.12
"11","Doge.exe has stopped working","medic",197.283333333333,19,0.0456196671453916,0.138461538461538,1.61538461538462,22.951761426037,9.45285769373633,0.348951911220715,0.146996705246262,0.329475373827828,135.414378643237,2.05880086313194,0.169492794310313,0.446058967643829,1053.58582718742,0.0253442595252175,0.0568181818181818
"12","explode","medic",312.866666666667,19,0.0607287449392713,0.172727272727273,1.43636363636364,23.8791817600682,4.10453658846667,0.395186458608834,0.166204986149584,0.351587470701044,142.830811847432,2.36376619941814,0.167185087385593,0.405923716173024,1074.82297763074,0.022373748135521,0.0551181102362205
"13","Halfwrong","medic",355.7,19,0.0449817261737419,0.113475177304965,1.42553191489362,11.3916221535001,-3.9365331388999,0.217463639778887,0.134945178521226,0.396401461906101,136.983412988473,2.6149841678742,0.0831605951770139,0.430137756536407,1045.58101298939,0.0281135788585887,0.065359477124183
"14","johno","medic",320.25,19,0.0562060889929742,0.26865671641791,2.64179104477612,19.3692427790788,-2.65623987981626,0.360933317816828,0.19047619047619,0.209211553473849,122.535519125683,2.28337018503433,0.158070434738291,0.455893832943013,1250.10211145122,0.0156128024980484,0.0342465753424658
"15","kELlEr","medic",165.766666666667,19,0.00603257590991353,0.0196078431372549,2,7.1305047255178,8.60201731638122,0.109830886452332,0.162879549567665,0.30766137140559,141.807761914337,2.18425943133247,0.0502828944569703,0.49467122461291,1074.79779005165,0.0120651518198271,0.024390243902439
"16","Left","medic",128.35,19,0.00779119594857811,0.0188679245283019,1.22641509433962,4.1994546162836,-4.35328764909224,0.0808095952023988,0.132450331125828,0.41293338527464,144.885079859758,2.7880059970015,0.0289847278984728,0.428515777171796,1040.78954247617,0.00779119594857811,0.0181818181818182
"17","lock","medic",546.216666666667,19,0.0347847313337198,0.171171171171171,2.77477477477477,12.4913800994721,-12.6126343176226,0.285792075060736,0.148292802001648,0.203216062002258,98.8051139657645,2.26057635921923,0.126424428838778,0.419247551337992,1096.47091082823,0.0201385286668904,0.0480349344978166
"18","xander","medic",299.816666666667,19,0.0333537161598755,0.0740740740740741,1.07407407407407,21.9167268886542,-1.61713475229645,0.400646302054753,0.170103952415365,0.450275168158319,152.703318694758,2.7914761295043,0.143524889150995,0.410250708766468,1060.50452347255,0.0200122296959253,0.0487804878048781
"19","arnold","medic",686.2,18,0.0612066452929175,0.190909090909091,1.66363636363636,27.7528417371029,-8.97868179311493,0.586221757064582,0.183619935878753,0.320606237248616,122.057709122705,2.5782183094256,0.227374755241416,0.381812882541533,1026.12870418118,0.029146021568056,0.0763358778625954
"20","bird","medic",573.833333333333,18,0.0383386581469649,0.0728476821192053,0.940397350993378,17.1443508568109,-3.40624571817909,0.324002107759189,0.101074644205635,0.526285216381063,166.97182689515,3.15551310762745,0.102678105496065,0.365959918675574,1011.46056765658,0.0278826604705199,0.0761904761904762
"21","Doge.exe has stopped working","medic",287.966666666667,18,0.0277809931705058,0.0727272727272727,1.78181818181818,12.8209283481884,6.38113695972346,0.204474966770049,0.194466952193541,0.381988656094455,145.621020951499,2.32244129375277,0.0880431153717747,0.465331635605973,1088.87288527531,0.0208357448778794,0.0447761194029851
"22","Halfwrong","medic",696.666666666667,18,0.0258373205741627,0.0508474576271186,1.08474576271186,12.2468899521531,6.85168417771953,0.193865030674847,0.183732057416268,0.508133971291866,169.75980861244,2.68725289706885,0.0721424585256963,0.743540669856459,1065.7823097114,0.0516746411483254,0.0694980694980695
"23","jen","medic",625.066666666667,18,0.0127986348122867,0.0254777070063694,0.840764331210191,5.5002133105802,1.43007530563239,0.0952407335586459,0.0767918088737201,0.502346416382253,164.71843003413,2.85223558091861,0.0333916083916084,0.313566552901024,1033.80377304239,0.0415955631399317,0.13265306122449
"24","johno","medic",731.466666666667,18,0.128508931826467,0.338129496402878,2.1294964028777,32.3514400291651,4.6391510137022,0.530701951110114,0.232409770324462,0.380058330295297,156.091870215093,2.56057411975779,0.207258968609865,0.473022238425082,1119.81308591947,0.0300765585125775,0.0635838150289017
"25","lock","medic",710.466666666667,18,0.0788214319226799,0.274509803921569,2.46078431372549,14.2920146382659,-2.28565799197104,0.264495962490232,0.213943886647274,0.287135216289763,126.618185230365,2.3432664756447,0.112874897174237,0.470113540395984,1083.81429865952,0.0281505114009571,0.0598802395209581
"26","obla","medic",634.166666666667,18,0.0536136662286465,0.146551724137931,1.57758620689655,15.0402102496715,-0.934493666844091,0.27155221500968,0.167148488830486,0.365834428383706,134.64914586071,2.43110124131648,0.11169926220869,0.394218134034166,1016.91671608931,0.0189224704336399,0.048
"27","Sean","medic",809.3,18,0.0345978005683924,0.0625,1.05803571428571,12.0696898554306,5.35248615852047,0.195704439814073,0.153218831088595,0.553564809094279,180.390460892129,2.92494790831864,0.0669086923761902,0.397874706536513,1050.4792429108,0.0247127146917089,0.062111801242236
"28","cos coa","medic",183.416666666667,17,0.0272603362108133,0.0632911392405063,1.74683544303797,7.85642889595638,10.4399987541735,0.117680685994283,0.141753748296229,0.43071331213085,156.474329850068,2.34381380155165,0.0502090592334495,0.4525215810995,1054.5223391456,0.0272603362108133,0.0602409638554217
"29","Doge.exe has stopped working","medic",393.95,17,0.032999111562381,0.110169491525424,2.06779661016949,7.80809747429877,6.51989736145365,0.124252706414607,0.172610737403224,0.299530397258535,130.453103185683,2.07594118597512,0.0598536737235367,0.423911663916741,1064.98371165746,0.032999111562381,0.0778443113772455
"30","Halfwrong","medic",214.616666666667,17,0.0326162926147395,0.0619469026548673,1.02654867256637,17.8317931195154,-3.35170541977134,0.33664672765658,0.130465170458958,0.526520152209366,170.03339287101,3.2100633356791,0.104872300778253,0.85268307835676,988.87643116157,0.0465947037353421,0.0546448087431694
"31","Hawk","medic",365.033333333333,17,0.0767053237147293,0.241379310344828,1.87931034482759,26.2770523239887,-6.98808357414949,0.532652154597956,0.210939640215505,0.317779198246736,112.86640489453,2.28787205686362,0.232815533980583,0.432837183818829,1035.72506305502,0.0164368550817277,0.0379746835443038
"32","Hobbes","medic",169.15,17,0.0591191250369495,0.123456790123457,1.50617283950617,17.2686964232929,11.8378746289908,0.253361089426663,0.218740762636713,0.478864912799291,175.158143659474,2.56986729117877,0.0985891724044822,0.419745787762341,1039.86904595383,0.0177357375110848,0.0422535211267606
"33","sage","medic",145.25,17,0.0688468158347676,0.12987012987013,0.792207792207792,26.3752151462995,6.83261953912414,0.417638722337294,0.137693631669535,0.530120481927711,175.807228915663,2.78382208655838,0.150023496240602,0.419965576592083,1058.96104131587,0.0206540447504303,0.0491803278688525
"34","sea anarchy","medic",146.733333333333,17,0.02044525215811,0.0491803278688525,1.24590163934426,20.0431621990005,-3.75582132760753,0.381304291455983,0.177192185370286,0.415720127214902,149.16855974557,2.83780630105018,0.134365862573099,0.354384370740572,1070.7108898044,0.0545206724216265,0.153846153846154
"35","arnold","medic",504.883333333333,21,0.0514970455220678,0.164556962025316,1.63291139240506,23.9263196117915,-4.44612447668706,0.837202855360732,0.205988182088271,0.312943584326412,125.434918958175,4.38907755215192,0.190746881414811,0.41791833096755,1113.86126909956,0.0396131119400522,0.0947867298578199
"36","bird","medic",145.683333333333,21,0.0411852190824848,0.0645161290322581,0.881720430107527,15.1081112000915,-1.12705190645318,0.473638906821605,0.109827250886626,0.638370895778515,181.791557030088,5.69916074887024,0.0831067814529527,0.308889143118636,1000.27768685901,0.00686420318041414,0.0222222222222222
"37","Dave","medic",150.883333333333,21,0.039765823483928,0.15,3,14.0307080525793,-0.655623769920311,0.433456183456183,0.231967303656247,0.265105489892853,117.660444051696,3.63493038493039,0.119247451135019,0.516955705291064,1134.8002124536,0.0331381862366067,0.0641025641025641
"38","iven","medic",335.183333333333,21,0.0507185122569738,0.137096774193548,1.23387096774194,18.6435284172841,-1.61532778928356,0.593560030395137,0.0686191636417881,0.369946795286162,145.04897817115,4.61797112462006,0.128532642231272,0.453483168415295,1135.27673433179,0.00298344189746905,0.00657894736842105
"39","jen","medic",137.9,21,0.0290065264684554,0.0533333333333333,0.88,14.2494561276287,-18.9278322221684,1.0108024691358,0.0652646845540246,0.543872371283539,161.211022480058,11.4356995884774,0.0883900859160631,0.268310369833212,1145.66223944844,0.0362581580855693,0.135135135135135
"40","lau","medic",217.116666666667,21,0.0414523681584402,0.132352941176471,2.47058823529412,8.49312965379596,-17.1948052679978,0.53651440209485,0.257925846319183,0.313195670530437,144.042373531895,9.09921443118999,0.0589627166336254,0.432946956321486,1357.70757364111,0.0276349121056268,0.0638297872340425
"41","lock","medic",378.066666666667,21,0.05025568682772,0.171171171171171,2.0990990990991,10.847293246341,22.383213159798,0.195770479282032,0.179862458120261,0.293599012519838,130.257450185153,2.35086881802559,0.083275799049669,0.428495856110033,828.214907763723,0.0264503614882737,0.0617283950617284
"42","Rising","medic",240.75,21,0.0456905503634476,0.106796116504854,1.24271844660194,17.8359293873313,-3.58367490619075,0.605812641083521,0.161993769470405,0.427829698857736,141.271028037383,4.79839164785553,0.126253271000559,0.382139148494289,983.233795281112,0.0332294911734164,0.0869565217391304
"43","Sean","medic",366.033333333333,21,0.0136599581094618,0.0316455696202532,1.21518987341772,5.07330844185411,9.74159276326531,0.118627826753545,0.191239413532465,0.431654676258993,164.444039704945,3.84515139900345,0.0308512759170654,0.453510609234132,1170.08742530741,0.0355158910846007,0.0783132530120482
"44","whitemagic","medic",147.733333333333,21,0,0,0.654761904761905,0.541516245487365,19.0417829177724,0.0104004160166407,0.148916967509025,0.568592057761733,172.195397111913,3.30720228809152,0.00314477770352608,0.304602888086643,773.337502483709,0.0338447653429603,0.111111111111111
"45","arnold","medic",463.8,27,0.0582147477360931,0.207692307692308,2.17692307692308,19.7455799913756,0,Inf,0.258732212160414,0.280293229840448,131.362656317378,Inf,0.15031349505958,0.463561880120742,1213.09616213885,0.0323415265200517,0.0697674418604651
"46","iven","medic",196.8,27,0.0355691056910569,0.0864197530864197,1.20987654320988,17.7591463414634,0,Inf,0.147357723577236,0.411585365853659,145.670731707317,Inf,0.121912934282126,0.416666666666667,1014.39532520325,0.0101626016260163,0.024390243902439
"47","lau","medic",495.683333333333,27,0.0201741703372449,0.0746268656716418,2.47761194029851,7.45839077367943,0,Inf,0.246124878114388,0.270333882519081,127.422077267072,Inf,0.0585329554630231,0.480145254026428,1188.74281295182,0.0181567533035204,0.0378151260504202
"48","lock","medic",291.916666666667,27,0.0445332572081073,0.158536585365854,2.19512195121951,16.0422495004282,2.47330859263488,6.48614958448753,0.195261204681701,0.280902083928062,132.085640879246,53.404432132964,0.121453394885627,0.438481301741365,1108.80274050814,0.0239794461889809,0.0546875
"49","Michael","medic",178.416666666667,27,0.0616534329752452,0.11,0.82,17.4815506772536,0,Inf,0.128911723493695,0.560485754320411,183.587108827651,Inf,0.0952221034956495,0.364315740308267,967.81877627277,0.0168145726296123,0.0461538461538462
"50","Mirimu","medic",175.4,27,0.0399087799315849,0.101449275362319,1.65217391304348,14.7320410490308,0.570125427594071,25.84,0.233751425313569,0.393386545039909,151.995438996579,266.6,0.0969242310577644,0.416191562143672,1038.97947548461,0.0228050171037628,0.0547945205479452
"51","ory","medic",224.966666666667,27,0.022225514891095,0.036231884057971,0.659420289855073,10.9927396651356,0,Inf,0.0889020595643799,0.613424210994221,176.483923544229,Inf,0.0622874845729542,0.342272929322863,972.695214105793,0.022225514891095,0.0649350649350649
"52","Sean","medic",285.35,27,0.0210268091817067,0.0428571428571429,1.00714285714286,8.91887156124058,0.182232346241458,48.9423076923077,0.143683196074996,0.490625547573156,153.933765551078,844.711538461538,0.0579396698918611,0.371473628876818,1022.81408796215,0.0175223409847556,0.0471698113207547
"53","arnold","medic",602.1,26,0.0381996346121907,0.151315789473684,1.76973684210526,17.0303936223219,0,Inf,0.229197807673144,0.252449759176217,113.76349443614,Inf,0.149699986860738,0.423517688091679,1148.65470852018,0.0315562198970271,0.0745098039215686
"54","ayr","medic",216.3,26,0.0508552935737402,0.126436781609195,1.31034482758621,13.9251040221914,0,Inf,0.147942672214517,0.402219140083218,139.505316689783,Inf,0.0998177299088649,0.365233472029589,1120.36061026352,0.0416088765603329,0.113924050632911
"55","bird","medic",164.366666666667,26,0.00608395862908132,0.0192307692307692,1.09615384615385,4.5264652200365,0,Inf,0.133847089839789,0.316365848712229,117.669843845062,Inf,0.0384675042655499,0.334617724599473,1048.31474345974,0.0304197931454066,0.0909090909090909
"56","D-Fault","medic",362.833333333333,26,0.0303169499310978,0.0901639344262295,1.72131147540984,12.3197060174552,0.154340836012862,79.8214285714286,0.157096922370234,0.336242535599449,127.686724850712,827.303571428571,0.0964838438127307,0.358291226458429,1043.8511713367,0.0303169499310978,0.0846153846153846
"57","down","medic",318.666666666667,26,0.0627615062761506,0.32258064516129,4.2258064516129,13.3682008368201,0,Inf,0.213389121338912,0.194560669456067,104.033472803347,Inf,0.128499034749035,0.539748953974895,1078.27405857741,0.0125523012552301,0.0232558139534884
"58","Essence","medic",301.15,26,0.0630914826498423,0.213483146067416,2.50561797752809,22.3111406275942,0.159389008799602,139.979166666667,0.229121700149427,0.295533787149261,134.095965465715,841.3125,0.166381893370973,0.494770048148763,1282.73285738004,0.033206043499917,0.0671140939597315
"59","hz","medic",155.2,26,0.0257731958762887,0.0571428571428571,1.25714285714286,7.37113402061856,0,Inf,0.141752577319588,0.451030927835052,159.136597938144,Inf,0.0463195400437282,0.399484536082474,979.594072164949,0.038659793814433,0.0967741935483871
"60","iven","medic",120.333333333333,26,0.149584487534626,0.409090909090909,2.5,57.606648199446,2.40997229916898,23.9034482758621,0.0997229916897507,0.365650969529086,143.368421052632,59.4896551724138,0.401808485972641,0.43213296398892,909.240997229917,0,0
"61","kELlEr","medic",622,26,0.0321543408360129,0.0813008130081301,1.13821138211382,9.30546623794212,0.241157556270096,38.5866666666667,0.141479099678457,0.395498392282958,144.588424437299,599.56,0.06435830720306,0.427652733118971,1152.59163987138,0.0385852090032154,0.0902255639097744
"62","lock","medic",948.316666666667,26,0.0590520044289003,0.256880733944954,2.61926605504587,12.6940719520554,0.095959507196963,132.285714285714,0.155011511625863,0.229881017241076,102.138877660416,1064.3956043956,0.124282469543671,0.442890033216752,1120.01406000105,0.0200355015026626,0.0452380952380952
"63","Mack","medic",300.7,26,0.0399068839374792,0.0833333333333333,1.19444444444444,32.8167608912537,0.651812437645494,50.3469387755102,0.199534419687396,0.478882607249751,187.435982707017,287.561224489796,0.175082502395231,0.425673428666445,1142.76022613901,0.0133022946458264,0.03125
"64","Michael","medic",604.766666666667,26,0.0231494240202833,0.053030303030303,1.04545454545455,9.80212754230282,0.839993385878851,11.6692913385827,0.168660089290636,0.436531995811057,152.696907898363,181.783464566929,0.0641933597557014,0.360469602601554,1117.72694703191,0.0264564845946095,0.073394495412844
"65","Mikcow","medic",184.75,26,0.0866035182679296,0.186046511627907,1.40697674418605,18.5060893098782,0.40595399188092,45.5866666666667,0.189445196211096,0.465493910690122,154.305818673884,380.106666666667,0.11993124736916,0.378890392422192,1059.97834912043,0.054127198917456,0.142857142857143
"66","ory","medic",534.533333333333,26,0.0224494886505363,0.0491803278688525,0.967213114754098,8.49338987278623,0,Inf,0.115989024694438,0.456472935894238,146.273384884011,Inf,0.0580651762418785,0.359191818408581,1022.86605138439,0.0299326515340484,0.0833333333333333
"67","Ravu4","medic",548.483333333333,26,0.0565194931477711,0.144859813084112,1.72897196261682,16.28673007384,0.122155033577441,133.328358208955,0.246133276611261,0.390166823665259,147.404661338843,1206.70149253731,0.110489925663892,0.488620134309763,1159.40624145371,0.0182320945637971,0.0373134328358209
"68","rem","medic",651.966666666667,26,0.0552175469093512,0.194594594594595,1.87567567567568,20.2694411779743,0.105833631576256,191.521739130435,0.173321744465463,0.283756838284166,117.524413313564,1110.46376811594,0.17247004776696,0.42640216779999,1045.69303134107,0.0199396697172657,0.0467625899280576
"69","Rising","medic",201.25,26,0.00993788819875776,0.0476190476190476,2.5,6.65341614906832,0,Inf,0.238509316770186,0.208695652173913,92.8745341614907,Inf,0.0716387566208336,0.48695652173913,1095.72670807453,0.0347826086956522,0.0714285714285714
