"","name","class_primary","total_mins_played","season","kills_per_minute","kills_per_death","ka_d","damage_per_minute","heals_per_minute","damage_per_heal","caps_per_minute","deaths_per_minute","dt_per_minute","dt_per_heal","damage_per_dt"
"86","lexx","demoman",512.25,26,0.858955588091752,1.6988416988417,2.30501930501931,337.698389458272,342.229380185456,0.986760368952751,0.183504148365056,0.505612493899463,286.065397755002,0.835887899513425,1.18049366371633
"87","Moop","demoman",275.366666666667,26,0.544728241133035,0.9375,1.225,283.01900496308,312.637695194286,0.90526193518411,0.116208691441714,0.58104345720857,289.81721341242,0.927006620978046,0.976543117058868
"88","Paulsen","demoman",530.25,26,0.714757190004715,1.25496688741722,1.84437086092715,315.492692126356,327.92456388496,0.962089232928078,0.273455917020273,0.56954266855257,294.725129655823,0.898758928468732,1.07046417282023
"89","pav","demoman",270.5,26,0.598890942698706,1.09459459459459,1.54054054054054,299.371534195933,353.456561922366,0.846982533207823,0.192236598890943,0.547134935304991,320.288354898336,0.906160443468256,0.934693783328332
"90","Pengstah","demoman",269.216666666667,26,0.456881074722962,0.763975155279503,1.18012422360248,263.304649291153,291.924719866279,0.901960784313726,0.234012257784932,0.598031325450381,270.781898099424,0.927574404193864,0.97238645248906
"91","prankmonkey","demoman",584.183333333333,26,0.676157598927277,1.68803418803419,2.35470085470085,335.348492197084,309.42341160024,1.08378512945342,0.121537188667941,0.400559185187299,243.238709309292,0.786103120159327,1.37868061029163
"92","quid","demoman",425.366666666667,26,0.493691716950082,0.84,1.152,278.089491419168,301.434056892093,0.9225549836219,0.136352950395737,0.587728234464384,318.910743672126,1.05797847449696,0.871997876951656
"93","redcoat","demoman",920.8,26,0.682015638575152,1.54299754299754,2.13267813267813,294.704604691573,298.424196350999,0.987535891174683,0.133579496090356,0.442006950477845,234.590573414422,0.786097696778255,1.25625083907764
"94","Rising","demoman",131.95,26,0.644183402804092,1.0625,1.4625,305.502084122774,302.212959454339,1.01088346665998,0.143993937097385,0.606290261462675,302.175066312997,0.999874614439401,1.01101023274478
"95","TheWiggin","demoman",247.75,26,0.419778002018163,0.547368421052632,0.842105263157895,234.466195761857,234.094853683148,1.00158628894598,0.125126135216953,0.766902119071645,268.637739656912,1.14755935651844,0.8727969348659
"96","Torque","demoman",163.266666666667,26,0.612494895875868,1.25,1.7375,282.684769293589,297.219273172724,0.951098380249763,0.189873417721519,0.489995916700694,268.732135565537,0.904154473890286,1.05192022792023
"97","Bonk","demoman",354.75,25,0.693446088794926,1.17703349282297,1.6555023923445,330.252290345314,319.523608174771,1.03357711886088,0.188865398167724,0.589147286821705,308.047921071177,0.96408501027781,1.07208089311859
"98","deft","demoman",401.283333333333,25,0.75009345018067,1.82424242424242,2.48484848484848,303.787847323171,296.254516758732,1.02542857623526,0.166964322797691,0.411180794949537,233.994268388919,0.789842028229673,1.29827046369465
"99","enrith","demoman",271.816666666667,25,0.757863756208229,1.47142857142857,2.15,361.865227788338,312.081672696057,1.1595209185538,0.198663314734196,0.515053038199767,293.536084370593,0.940574567659645,1.23277936531809
"100","jane doe","demoman",411.583333333333,25,0.646284673010731,1.6319018404908,2.37423312883436,311.256529661875,323.470338125127,0.962241333984302,0.165215630694473,0.396031585341162,247.349665924276,0.764674953994066,1.25836648494671
"101","Johnny","demoman",272.8,25,0.762463343108504,1.31645569620253,1.75316455696203,301.323313782991,286.110703812317,1.0531703629678,0.194281524926686,0.579178885630498,275.883431085044,0.96425414152285,1.09221243406279
"102","K1ng","demoman",275.416666666667,25,0.991225416036309,1.59649122807018,1.96491228070175,390.579122541604,348.130711043873,1.12193239536509,0.210590015128593,0.620877458396369,341.794856278366,0.98180035669215,1.1427296677148
"103","Mack","demoman",270.5,25,0.547134935304991,0.783068783068783,0.984126984126984,235.826247689464,230.085027726433,1.02495260130467,0.055452865064695,0.698706099815157,265.323475046211,1.15315402165879,0.888825414518601
"104","Moop","demoman",494.366666666667,25,0.568404018609669,1.09338521400778,1.5136186770428,267.168093857461,276.207942822466,0.967271582154261,0.175982738857798,0.519857056166139,245.706290877217,0.889569968069836,1.08734738904576
"105","morphe","demoman",233.65,25,0.826021827519795,2.01041666666667,2.54166666666667,365.011769741066,370.905200085598,0.984110682882924,0.136956986946287,0.410870960838862,275.407661031457,0.742528443839284,1.32535082130258
"106","prankmonkey","demoman",398.066666666667,25,0.710936191592698,1.58988764044944,2.13483146067416,322.614302461899,287.085077876403,1.1237585208131,0.113046390889298,0.447161279517669,252.600904371127,0.879881693049467,1.27717002148142
"107","redcoat","demoman",330.883333333333,25,0.903641766987357,1.96710526315789,2.50657894736842,322.584999748149,322.956731980053,0.998848972029085,0.123910743968166,0.459376416662469,239.404623986299,0.741290087122524,1.34744682194029
"108","sao","demoman",396.066666666667,25,0.984682713347921,2.04188481675393,2.69633507853403,389.99747517253,324.346911294395,1.20240847559219,0.136340683386635,0.482242046793469,296.674802221848,0.914683605396106,1.31456218139111
"109","Sessal","demoman",400.083333333333,25,0.604873984586545,1.02542372881356,1.36864406779661,283.318475317642,273.128098312851,1.03730988158208,0.107477608831493,0.589877108935638,272.983128514893,0.999469224152131,1.03786075300322
"110","TheWiggin","demoman",261.733333333333,25,0.622771268466633,0.795121951219512,1.0390243902439,259.6574121243,211.035404992359,1.23039739295736,0.152827305145186,0.783239938869078,281.523178807947,1.334009233276,0.922330492372835
"111","Trumpet","demoman",219.966666666667,25,0.691013789968177,1.25619834710744,1.95867768595041,310.592514017275,347.098045158357,0.894826457105436,0.204576450977421,0.550083345961509,305.137141991211,0.879109364767518,1.01787842669845
"112","xander","demoman",425.783333333333,25,0.490859983559713,0.893162393162393,1.3034188034188,276.793361255725,267.185188084707,1.03596072536765,0.192586213645438,0.549575292597957,262.419853603163,0.982164675685416,1.0547729428822
"113","blank","demoman",131.733333333333,24,0.675607287449393,0.898989898989899,1.23232323232323,290.754048582996,245.139170040486,1.18607747809123,0.212550607287449,0.751518218623482,308.31983805668,1.25773387421423,0.943027378373055
